,,,,MW 
sc2015,y2030,2030-01-03T05:00:00+01:00,Cogeneration,378.87592459999996
sc2015,y2030,2030-01-03T05:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-03T05:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-03T05:00:00+01:00,Onshore_wind,449.6130277599999
sc2015,y2030,2030-01-03T05:00:00+01:00,PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-03T05:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-03T05:00:00+01:00,Hydro_UGH,103.163914055
sc2015,y2030,2030-01-03T05:00:00+01:00,Solar_PV,0.0
sc2015,y2030,2030-01-03T07:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-03T07:00:00+01:00,Cogeneration,384.157879
sc2015,y2030,2030-01-03T07:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-03T07:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-03T07:00:00+01:00,Onshore_wind,523.8201899149999
sc2015,y2030,2030-01-03T07:00:00+01:00,PumpedStorage_Hydro,239.95618634349935
sc2015,y2030,2030-01-03T07:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-03T07:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-03T07:00:00+01:00,Solar_PV,0.6858652665000463
sc2015,y2030,2030-01-03T09:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-03T09:00:00+01:00,Cogeneration,391.0649295499999
sc2015,y2030,2030-01-03T09:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-03T09:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-03T09:00:00+01:00,Onshore_wind,565.119302975
sc2015,y2030,2030-01-03T09:00:00+01:00,PumpedStorage_Hydro,422.1847579729998
sc2015,y2030,2030-01-03T09:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-03T09:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-03T09:00:00+01:00,Solar_PV,277.15628210700004
sc2015,y2030,2030-01-03T11:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-03T11:00:00+01:00,Cogeneration,386.8833141499999
sc2015,y2030,2030-01-03T11:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-03T11:00:00+01:00,CCGT,811.1957878721358
sc2015,y2030,2030-01-03T11:00:00+01:00,Onshore_wind,553.5449403599999
sc2015,y2030,2030-01-03T11:00:00+01:00,PumpedStorage_Hydro,205.72018462786468
sc2015,y2030,2030-01-03T11:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-03T11:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-03T11:00:00+01:00,Solar_PV,1525.6072027500002
sc2015,y2030,2030-01-03T13:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-03T13:00:00+01:00,Cogeneration,381.7670014999999
sc2015,y2030,2030-01-03T13:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-03T13:00:00+01:00,CCGT,602.4639947520302
sc2015,y2030,2030-01-03T13:00:00+01:00,Onshore_wind,508.141047255
sc2015,y2030,2030-01-03T13:00:00+01:00,PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-03T13:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-03T13:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-03T13:00:00+01:00,Solar_PV,1921.9023336
sc2015,y2030,2030-01-03T15:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-03T15:00:00+01:00,Cogeneration,376.64862449999987
sc2015,y2030,2030-01-03T15:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-03T15:00:00+01:00,CCGT,590.4679304520304
sc2015,y2030,2030-01-03T15:00:00+01:00,Onshore_wind,582.6972553399999
sc2015,y2030,2030-01-03T15:00:00+01:00,PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-03T15:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-03T15:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-03T15:00:00+01:00,Solar_PV,1690.57026825
sc2015,y2030,2030-01-03T17:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-03T17:00:00+01:00,Cogeneration,374.16706044999984
sc2015,y2030,2030-01-03T17:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-03T17:00:00+01:00,CCGT,805.4792956880991
sc2015,y2030,2030-01-03T17:00:00+01:00,Onshore_wind,685.442411665
sc2015,y2030,2030-01-03T17:00:00+01:00,PumpedStorage_Hydro,520.8420227519014
sc2015,y2030,2030-01-03T17:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-03T17:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-03T17:00:00+01:00,Solar_PV,601.1291033550001
sc2015,y2030,2030-01-03T19:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-03T19:00:00+01:00,Cogeneration,377.92101149999985
sc2015,y2030,2030-01-03T19:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-03T19:00:00+01:00,CCGT,805.4792956880991
sc2015,y2030,2030-01-03T19:00:00+01:00,Onshore_wind,818.9454945499999
sc2015,y2030,2030-01-03T19:00:00+01:00,PumpedStorage_Hydro,1426.8431375131374
sc2015,y2030,2030-01-03T19:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-03T19:00:00+01:00,Hydro_UGH,263.2059789157646
sc2015,y2030,2030-01-03T19:00:00+01:00,Solar_PV,0.7017648630000608
sc2015,y2030,2030-01-03T21:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-03T21:00:00+01:00,Cogeneration,380.82497239999987
sc2015,y2030,2030-01-03T21:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-03T21:00:00+01:00,CCGT,805.4792956880991
sc2015,y2030,2030-01-03T21:00:00+01:00,Onshore_wind,860.4400730499999
sc2015,y2030,2030-01-03T21:00:00+01:00,PumpedStorage_Hydro,883.4627596554949
sc2015,y2030,2030-01-03T21:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-03T21:00:00+01:00,Hydro_UGH,1006.1290277064077
sc2015,y2030,2030-01-03T21:00:00+01:00,Solar_PV,0.0
sc2015,y2030,2030-01-03T23:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-03T23:00:00+01:00,Cogeneration,378.0652271999999
sc2015,y2030,2030-01-03T23:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-03T23:00:00+01:00,CCGT,805.4792956880991
sc2015,y2030,2030-01-03T23:00:00+01:00,Onshore_wind,857.7454387999998
sc2015,y2030,2030-01-03T23:00:00+01:00,PumpedStorage_Hydro,1330.9154823930294
sc2015,y2030,2030-01-03T23:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-03T23:00:00+01:00,Hydro_UGH,231.11958956887247
sc2015,y2030,2030-01-03T23:00:00+01:00,Solar_PV,0.0
sc2015,y2030,2030-01-04T01:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-04T01:00:00+01:00,Cogeneration,360.2471109499999
sc2015,y2030,2030-01-04T01:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-04T01:00:00+01:00,CCGT,805.4792956880991
sc2015,y2030,2030-01-04T01:00:00+01:00,Onshore_wind,856.0420950999999
sc2015,y2030,2030-01-04T01:00:00+01:00,PumpedStorage_Hydro,211.21098928190273
sc2015,y2030,2030-01-04T01:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-04T01:00:00+01:00,Hydro_UGH,630.0
sc2015,y2030,2030-01-04T01:00:00+01:00,Solar_PV,0.0
sc2015,y2030,2030-01-04T03:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-04T03:00:00+01:00,Cogeneration,362.32563964999986
sc2015,y2030,2030-01-04T03:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-04T03:00:00+01:00,CCGT,805.4792956880991
sc2015,y2030,2030-01-04T03:00:00+01:00,Onshore_wind,850.68074925
sc2015,y2030,2030-01-04T03:00:00+01:00,PumpedStorage_Hydro,278.3462247619025
